Day,Month,Year,Description,Category,Value,Balance
20,3,2010,VIRGIN MEDIA PYMTS,Bills,17,962
21,3,2010,Anglo restaurant,Eating Out,31,931
22,3,2010,South West Trains,Transport,22,909
22,3,2010,Wild Bean Cafe,Eating Out,1,908
22,3,2010,Paying back James,,9,899
23,3,2010,Starbucks Coffee,Eating Out,2,897
23,3,2010,The West Cornwall Pasty Company,Eating Out,4,893
24,3,2010,O2,Bills,20,873
24,3,2010,Starbucks Coffee,Eating Out,2,871
24,3,2010,Chicken Cottage,Eating Out,7,864
25,3,2010,Starbucks Coffee,Eating Out,1,863
25,3,2010,The West Cornwall Pasty Company,Eating Out,6,857
26,3,2010,Tescos,Groceries,48,809
26,3,2010,Subway,Eating Out,7,802
26,3,2010,Scott's Restaurant,Eating Out,26,776
28,3,2010,Scott's Restaurant,Eating Out,37,739
29,3,2010,South West Trains,Transport,22,717
29,3,2010,Caffe Nero,Eating Out,1,716
29,3,2010,Chicken Cottage,Eating Out,7,709
30,3,2010,Costa Coffee,Eating Out,2,707
30,3,2010,Pret A Manger,Eating Out,7,700
30,3,2010,ATM Cash Withdrawal,General,10,690
31,3,2010,The West Cornwall Pasty Company,Eating Out,7,683
1,4,2010,Rhino Sports salary,General,1600,2283
1,4,2010,Starbucks Coffee,Eating Out,2,2281
1,4,2010,The West Cornwall Pasty Company,Eating Out,7,2274
2,4,2010,Tescos,Groceries,60,2214
2,4,2010,Starbucks Coffee,Eating Out,1,2213
2,4,2010,Greggs,Eating Out,4,2209
2,4,2010,Scott's Restaurant,Eating Out,36,2173
3,4,2010,Fabric Club,Eating Out,13,2160
3,4,2010,Fabric Club,Eating Out,7,2153
3,4,2010,Fabric Club,Eating Out,12,2141
3,4,2010,Fabric Club,Eating Out,5,2136
3,4,2010,Fabric Club,Eating Out,9,2127
3,4,2010,Fabric Club,Eating Out,16,2111
3,4,2010,Paying back James,,2,2109
5,4,2010,South West Trains,Transport,18,2091
5,4,2010,Costa Coffee,Eating Out,2,2089
5,4,2010,ATM Cash Withdrawal,General,20,2069
5,4,2010,Red Shop,,7,2062
6,4,2010,Starbucks Coffee,Eating Out,2,2060
7,4,2010,Cubit and West rent,Rent,400,1660
7,4,2010,Caffe Nero,Eating Out,2,1658
7,4,2010,Greggs,Eating Out,7,1651
7,4,2010,ATM Cash Withdrawal,General,10,1641
8,4,2010,Wild Bean Cafe,Eating Out,1,1640
8,4,2010,Greggs,Eating Out,7,1633
8,4,2010,ATM Cash Withdrawal,General,20,1613
9,4,2010,ASDA,Groceries,55,1558
10,4,2010,ATM Cash Withdrawal,General,10,1548
11,4,2010,Restaurant Gordon RamsayPortland Restaurant,Eating Out,44,1504
12,4,2010,South West Trains,Transport,16,1488
13,4,2010,The West Cornwall Pasty Company,Eating Out,8,1480
15,4,2010,BRGAS-Electricity,Bills,16,1464
15,4,2010,BRGAS-Gas,Bills,27,1437
15,4,2010,Starbucks Coffee,Eating Out,2,1435
15,4,2010,Pret A Manger,Eating Out,8,1427
16,4,2010,LBS Council Tax,Bills,20,1407
16,4,2010,Morrisons,Groceries,57,1350
16,4,2010,Wild Bean Cafe,Eating Out,2,1348
18,4,2010,Pizza Express,Eating Out,30,1318
18,4,2010,ATM Cash Withdrawal,General,20,1298
19,4,2010,South West Trains,Transport,25,1273
19,4,2010,Caffe Nero,Eating Out,2,1271
19,4,2010,McDonalds,Eating Out,7,1264
20,4,2010,VIRGIN MEDIA PYMTS,Bills,24,1240
21,4,2010,Caffe Nero,Eating Out,1,1239
21,4,2010,The West Cornwall Pasty Company,Eating Out,6,1233
22,4,2010,Wild Bean Cafe,Eating Out,1,1232
22,4,2010,McDonalds,Eating Out,7,1225
23,4,2010,Morrisons,Groceries,69,1156
23,4,2010,Chicken Cottage,Eating Out,5,1151
24,4,2010,O2,Bills,22,1129
24,4,2010,Anglo restaurant,Eating Out,26,1103
24,4,2010,ATM Cash Withdrawal,General,10,1093
26,4,2010,South West Trains,Transport,19,1074
26,4,2010,Costa Coffee,Eating Out,2,1072
26,4,2010,The West Cornwall Pasty Company,Eating Out,4,1068
27,4,2010,Starbucks Coffee,Eating Out,1,1067
27,4,2010,Greggs,Eating Out,7,1060
27,4,2010,ATM Cash Withdrawal,General,10,1050
28,4,2010,Wild Bean Cafe,Eating Out,2,1048
28,4,2010,Chicken Cottage,Eating Out,8,1040
29,4,2010,Caffe Nero,Eating Out,2,1038
29,4,2010,Pret A Manger,Eating Out,6,1032
29,4,2010,Tool Tec,,4,1028
30,4,2010,Waitrose,Groceries,52,976
30,4,2010,Wild Bean Cafe,Eating Out,2,974
30,4,2010,Dominos Pizza,Eating Out,51,923
30,4,2010,ATM Cash Withdrawal,General,10,913
1,5,2010,Rhino Sports salary,General,1600,2513
2,5,2010,Dominos Pizza,Eating Out,29,2484
3,5,2010,South West Trains,Transport,22,2462
3,5,2010,Starbucks Coffee,Eating Out,1,2461
3,5,2010,Pret A Manger,Eating Out,7,2454
4,5,2010,Starbucks Coffee,Eating Out,1,2453
4,5,2010,McDonalds,Eating Out,6,2447
5,5,2010,Wild Bean Cafe,Eating Out,1,2446
5,5,2010,Greggs,Eating Out,6,2440
7,5,2010,Cubit and West rent,Rent,400,2040
7,5,2010,ASDA,Groceries,46,1994
7,5,2010,Costa Coffee,Eating Out,1,1993
7,5,2010,McDonalds,Eating Out,8,1985
7,5,2010,Pizza Express,Eating Out,25,1960
8,5,2010,Anglo restaurant,Eating Out,54,1906
8,5,2010,ATM Cash Withdrawal,General,20,1886
9,5,2010,Pizza Express,Eating Out,24,1862
10,5,2010,South West Trains,Transport,22,1840
10,5,2010,Wild Bean Cafe,Eating Out,1,1839
10,5,2010,The West Cornwall Pasty Company,Eating Out,4,1835
11,5,2010,Starbucks Coffee,Eating Out,2,1833
11,5,2010,ATM Cash Withdrawal,General,10,1823
12,5,2010,Caffe Nero,Eating Out,2,1821
12,5,2010,Chicken Cottage,Eating Out,7,1814
13,5,2010,Caffe Nero,Eating Out,1,1813
13,5,2010,Tool Shop,,9,1804
14,5,2010,Waitrose,Groceries,42,1762
14,5,2010,Starbucks Coffee,Eating Out,2,1760
14,5,2010,Pret A Manger,Eating Out,5,1755
14,5,2010,Pizza Express,Eating Out,29,1726
15,5,2010,BRGAS-Electricity,Bills,27,1699
15,5,2010,BRGAS-Gas,Bills,28,1671
15,5,2010,Pizza Express,Eating Out,55,1616
16,5,2010,LBS Council Tax,Bills,20,1596
16,5,2010,Dominos Pizza,Eating Out,48,1548
17,5,2010,South West Trains,Transport,21,1527
17,5,2010,Costa Coffee,Eating Out,1,1526
18,5,2010,Starbucks Coffee,Eating Out,2,1524
19,5,2010,Caffe Nero,Eating Out,2,1522
19,5,2010,Chicken Cottage,Eating Out,5,1517
20,5,2010,VIRGIN MEDIA PYMTS,Bills,16,1501
20,5,2010,Greggs,Eating Out,4,1497
20,5,2010,ATM Cash Withdrawal,General,10,1487
21,5,2010,Sainsburys,Groceries,60,1427
21,5,2010,Costa Coffee,Eating Out,2,1425
24,5,2010,O2,Bills,22,1403
24,5,2010,South West Trains,Transport,17,1386
24,5,2010,ATM Cash Withdrawal,General,20,1366
25,5,2010,Starbucks Coffee,Eating Out,2,1364
25,5,2010,Greggs,Eating Out,6,1358
25,5,2010,ATM Cash Withdrawal,General,20,1338
25,5,2010,Red Shop,,7,1331
26,5,2010,Costa Coffee,Eating Out,2,1329
26,5,2010,Chicken Cottage,Eating Out,6,1323
26,5,2010,ATM Cash Withdrawal,General,10,1313
27,5,2010,Starbucks Coffee,Eating Out,2,1311
27,5,2010,Pret A Manger,Eating Out,5,1306
28,5,2010,Morrisons,Groceries,46,1260
28,5,2010,Costa Coffee,Eating Out,2,1258
28,5,2010,Greggs,Eating Out,7,1251
29,5,2010,Dominos Pizza,Eating Out,33,1218
30,5,2010,Dominos Pizza,Eating Out,40,1178
30,5,2010,ATM Cash Withdrawal,General,10,1168
31,5,2010,South West Trains,Transport,22,1146
31,5,2010,Costa Coffee,Eating Out,2,1144
31,5,2010,ATM Cash Withdrawal,General,10,1134
1,6,2010,Rhino Sports salary,General,1600,2734
1,6,2010,Wild Bean Cafe,Eating Out,2,2732
1,6,2010,Subway,Eating Out,7,2725
1,6,2010,Civic Shop,,4,2721
2,6,2010,Costa Coffee,Eating Out,2,2719
2,6,2010,Pret A Manger,Eating Out,4,2715
3,6,2010,Starbucks Coffee,Eating Out,2,2713
4,6,2010,Waitrose,Groceries,47,2666
4,6,2010,Caffe Nero,Eating Out,1,2665
4,6,2010,Subway,Eating Out,8,2657
5,6,2010,Civic Shop,,6,2651
6,6,2010,ATM Cash Withdrawal,General,20,2631
7,6,2010,Cubit and West rent,Rent,400,2231
7,6,2010,South West Trains,Transport,19,2212
7,6,2010,Caffe Nero,Eating Out,1,2211
8,6,2010,Wild Bean Cafe,Eating Out,2,2209
8,6,2010,Subway,Eating Out,7,2202
8,6,2010,ATM Cash Withdrawal,General,20,2182
8,6,2010,British Airways,General,215,1967
8,6,2010,Civic Shop,,4,1963
9,6,2010,Costa Coffee,Eating Out,2,1961
9,6,2010,Chicken Cottage,Eating Out,7,1954
10,6,2010,Costa Coffee,Eating Out,1,1953
10,6,2010,McDonalds,Eating Out,6,1947
11,6,2010,Sainsburys,Groceries,46,1901
11,6,2010,The West Cornwall Pasty Company,Eating Out,8,1893
11,6,2010,Dominos Pizza,Eating Out,43,1850
12,6,2010,The Grand Pub,Eating Out,12,1838
12,6,2010,The Grand Pub,Eating Out,9,1829
12,6,2010,The Grand Pub,Eating Out,12,1817
13,6,2010,Anglo restaurant,Eating Out,53,1764
14,6,2010,South West Trains,Transport,22,1742
14,6,2010,Wild Bean Cafe,Eating Out,2,1740
14,6,2010,The West Cornwall Pasty Company,Eating Out,5,1735
14,6,2010,Red Shop,,2,1733
15,6,2010,BRGAS-Electricity,Bills,25,1708
15,6,2010,BRGAS-Gas,Bills,14,1694
15,6,2010,Greggs,Eating Out,4,1690
16,6,2010,LBS Council Tax,Bills,20,1670
16,6,2010,Wild Bean Cafe,Eating Out,2,1668
16,6,2010,McDonalds,Eating Out,8,1660
17,6,2010,Caffe Nero,Eating Out,2,1658
17,6,2010,Pret A Manger,Eating Out,4,1654
18,6,2010,ASDA,Groceries,37,1617
18,6,2010,Starbucks Coffee,Eating Out,2,1615
18,6,2010,Heaven Club,Eating Out,11,1604
18,6,2010,Heaven Club,Eating Out,15,1589
18,6,2010,Heaven Club,Eating Out,11,1578
18,6,2010,Heaven Club,Eating Out,11,1567
18,6,2010,Heaven Club,Eating Out,13,1554
18,6,2010,ATM Cash Withdrawal,General,20,1534
19,6,2010,ATM Cash Withdrawal,General,20,1514
20,6,2010,VIRGIN MEDIA PYMTS,Bills,21,1493
20,6,2010,Tool Shop,,7,1486
21,6,2010,South West Trains,Transport,20,1466
22,6,2010,Costa Coffee,Eating Out,1,1465
23,6,2010,Caffe Nero,Eating Out,1,1464
23,6,2010,McDonalds,Eating Out,4,1460
24,6,2010,O2,Bills,22,1438
24,6,2010,Wild Bean Cafe,Eating Out,1,1437
24,6,2010,Chicken Cottage,Eating Out,8,1429
24,6,2010,ATM Cash Withdrawal,General,20,1409
25,6,2010,Tescos,Groceries,60,1349
25,6,2010,Costa Coffee,Eating Out,2,1347
25,6,2010,Greggs,Eating Out,8,1339
26,6,2010,Anglo restaurant,Eating Out,26,1313
27,6,2010,Pizza Express,Eating Out,52,1261
28,6,2010,South West Trains,Transport,18,1243
28,6,2010,Starbucks Coffee,Eating Out,2,1241
29,6,2010,Costa Coffee,Eating Out,2,1239
29,6,2010,Chicken Cottage,Eating Out,6,1233
30,6,2010,Caffe Nero,Eating Out,2,1231
30,6,2010,Chicken Cottage,Eating Out,4,1227
30,6,2010,ATM Cash Withdrawal,General,20,1207
1,7,2010,Rhino Sports salary,General,1600,2807
1,7,2010,Caffe Nero,Eating Out,2,2805
1,7,2010,Pret A Manger,Eating Out,6,2799
2,7,2010,Waitrose,Groceries,48,2751
2,7,2010,Wild Bean Cafe,Eating Out,2,2749
2,7,2010,Subway,Eating Out,7,2742
4,7,2010,Tool Shop,,2,2740
5,7,2010,South West Trains,Transport,23,2717
5,7,2010,Wild Bean Cafe,Eating Out,1,2716
5,7,2010,McDonalds,Eating Out,6,2710
6,7,2010,Costa Coffee,Eating Out,1,2709
6,7,2010,Greggs,Eating Out,7,2702
6,7,2010,ATM Cash Withdrawal,General,10,2692
6,7,2010,Tool Shop,,3,2689
7,7,2010,Cubit and West rent,Rent,400,2289
7,7,2010,Wild Bean Cafe,Eating Out,2,2287
7,7,2010,Subway,Eating Out,8,2279
7,7,2010,ATM Cash Withdrawal,General,10,2269
8,7,2010,Caffe Nero,Eating Out,1,2268
8,7,2010,McDonalds,Eating Out,6,2262
9,7,2010,Waitrose,Groceries,52,2210
9,7,2010,Wild Bean Cafe,Eating Out,2,2208
9,7,2010,Pret A Manger,Eating Out,4,2204
10,7,2010,Fabric Club,Eating Out,11,2193
10,7,2010,Fabric Club,Eating Out,14,2179
10,7,2010,Fabric Club,Eating Out,12,2167
10,7,2010,Fabric Club,Eating Out,11,2156
10,7,2010,Fabric Club,Eating Out,14,2142
12,7,2010,South West Trains,Transport,24,2118
12,7,2010,Costa Coffee,Eating Out,2,2116
13,7,2010,Starbucks Coffee,Eating Out,2,2114
13,7,2010,Red Shop,,9,2105
14,7,2010,Starbucks Coffee,Eating Out,2,2103
14,7,2010,Chicken Cottage,Eating Out,4,2099
14,7,2010,Civic Shop,,4,2095
15,7,2010,BRGAS-Electricity,Bills,21,2074
15,7,2010,BRGAS-Gas,Bills,25,2049
15,7,2010,Caffe Nero,Eating Out,2,2047
15,7,2010,The West Cornwall Pasty Company,Eating Out,8,2039
15,7,2010,ATM Cash Withdrawal,General,20,2019
15,7,2010,Paying back James,,9,2010
16,7,2010,LBS Council Tax,Bills,20,1990
16,7,2010,Morrisons,Groceries,53,1937
16,7,2010,Starbucks Coffee,Eating Out,2,1935
16,7,2010,The West Cornwall Pasty Company,Eating Out,7,1928
16,7,2010,Restaurant Gordon RamsayPortland Restaurant,Eating Out,26,1902
18,7,2010,Pizza Express,Eating Out,53,1849
19,7,2010,South West Trains,Transport,25,1824
19,7,2010,Costa Coffee,Eating Out,1,1823
19,7,2010,Subway,Eating Out,4,1819
20,7,2010,VIRGIN MEDIA PYMTS,Bills,16,1803
21,7,2010,Costa Coffee,Eating Out,2,1801
21,7,2010,Greggs,Eating Out,4,1797
21,7,2010,ATM Cash Withdrawal,General,10,1787
22,7,2010,Costa Coffee,Eating Out,1,1786
22,7,2010,Greggs,Eating Out,6,1780
23,7,2010,Morrisons,Groceries,46,1734
23,7,2010,Fabric Club,Eating Out,12,1722
23,7,2010,Cheam Service Station,,6,1716
24,7,2010,O2,Bills,20,1696
24,7,2010,ATM Cash Withdrawal,General,10,1686
26,7,2010,South West Trains,Transport,23,1663
26,7,2010,Starbucks Coffee,Eating Out,1,1662
26,7,2010,Subway,Eating Out,7,1655
27,7,2010,Costa Coffee,Eating Out,2,1653
27,7,2010,Subway,Eating Out,8,1645
27,7,2010,ATM Cash Withdrawal,General,10,1635
28,7,2010,Caffe Nero,Eating Out,2,1633
28,7,2010,ATM Cash Withdrawal,General,10,1623
29,7,2010,Chicken Cottage,Eating Out,5,1618
29,7,2010,Tool Tec,,1,1617
30,7,2010,Morrisons,Groceries,73,1544
30,7,2010,Caffe Nero,Eating Out,2,1542
30,7,2010,The West Cornwall Pasty Company,Eating Out,5,1537
30,7,2010,ATM Cash Withdrawal,General,10,1527
31,7,2010,Tool Tec,,7,1520
1,8,2010,Rhino Sports salary,General,1600,3120
2,8,2010,South West Trains,Transport,17,3103
2,8,2010,Pret A Manger,Eating Out,8,3095
3,8,2010,Starbucks Coffee,Eating Out,2,3093
3,8,2010,Pret A Manger,Eating Out,6,3087
3,8,2010,ATM Cash Withdrawal,General,10,3077
4,8,2010,Chicken Cottage,Eating Out,6,3071
4,8,2010,ATM Cash Withdrawal,General,20,3051
5,8,2010,Caffe Nero,Eating Out,2,3049
5,8,2010,McDonalds,Eating Out,6,3043
6,8,2010,Tescos,Groceries,38,3005
6,8,2010,Wild Bean Cafe,Eating Out,2,3003
6,8,2010,The West Cornwall Pasty Company,Eating Out,6,2997
7,8,2010,Cubit and West rent,Rent,400,2597
7,8,2010,ATM Cash Withdrawal,General,10,2587
8,8,2010,ATM Cash Withdrawal,General,20,2567
9,8,2010,South West Trains,Transport,19,2548
9,8,2010,Wild Bean Cafe,Eating Out,1,2547
9,8,2010,McDonalds,Eating Out,6,2541
10,8,2010,Wild Bean Cafe,Eating Out,2,2539
11,8,2010,Costa Coffee,Eating Out,1,2538
11,8,2010,Greggs,Eating Out,8,2530
12,8,2010,Costa Coffee,Eating Out,2,2528
13,8,2010,Waitrose,Groceries,43,2485
13,8,2010,Costa Coffee,Eating Out,2,2483
13,8,2010,McDonalds,Eating Out,7,2476
14,8,2010,The Grand Pub,Eating Out,6,2470
14,8,2010,The Grand Pub,Eating Out,11,2459
14,8,2010,Scott's Restaurant,Eating Out,50,2409
15,8,2010,BRGAS-Electricity,Bills,21,2388
15,8,2010,BRGAS-Gas,Bills,19,2369
15,8,2010,ATM Cash Withdrawal,General,10,2359
16,8,2010,LBS Council Tax,Bills,20,2339
16,8,2010,South West Trains,Transport,23,2316
16,8,2010,Caffe Nero,Eating Out,2,2314
16,8,2010,McDonalds,Eating Out,8,2306
17,8,2010,Caffe Nero,Eating Out,2,2304
17,8,2010,The West Cornwall Pasty Company,Eating Out,5,2299
17,8,2010,ATM Cash Withdrawal,General,10,2289
18,8,2010,Costa Coffee,Eating Out,1,2288
18,8,2010,Greggs,Eating Out,5,2283
19,8,2010,Caffe Nero,Eating Out,1,2282
20,8,2010,VIRGIN MEDIA PYMTS,Bills,16,2266
20,8,2010,Sainsburys,Groceries,62,2204
20,8,2010,Costa Coffee,Eating Out,1,2203
20,8,2010,Greggs,Eating Out,4,2199
20,8,2010,ATM Cash Withdrawal,General,20,2179
21,8,2010,Fabric Club,Eating Out,10,2169
21,8,2010,Restaurant Gordon RamsayPortland Restaurant,Eating Out,38,2131
21,8,2010,Cheam Service Station,,4,2127
22,8,2010,Scott's Restaurant,Eating Out,40,2087
23,8,2010,South West Trains,Transport,24,2063
23,8,2010,Starbucks Coffee,Eating Out,2,2061
23,8,2010,The West Cornwall Pasty Company,Eating Out,5,2056
23,8,2010,ATM Cash Withdrawal,General,20,2036
24,8,2010,O2,Bills,25,2011
24,8,2010,Costa Coffee,Eating Out,1,2010
24,8,2010,Subway,Eating Out,5,2005
